"condition","measure","mean","sd","se","upper","lower"
"PC","speed_pre",47.1666666666667,12.2051901528271,4.98274801467802,56.9328527754356,37.4004805578977
"PC","word",240.833333333333,67.1964780823122,27.4328473022964,294.601714045834,187.064952620832
"PC","word_weighted",240.833333333333,67.1964780823122,27.4328473022964,294.601714045834,187.064952620832
"VR","speed_pre",40,11.47170431976,4.68330367724893,49.1792752074079,30.8207247925921
"VR","word",258.166666666667,33.9965684542818,13.8790409530982,285.369586934739,230.963746398594
"VR","word_weighted",304.4415,40.0901491528779,16.3667348561037,336.520300317963,272.362699682037
